uuid,input,output
380d6fa56c6a4281a4564859948942da,"[(58, 38), (31, 35), (64, 69), (62, 38), (67, 99), (37, 69), (41, 25), (48, 15), (9, 1), (61, 54), (53, 33), (84, 71), (45, 46), (24, 93)]","[(84, 71), (67, 99), (24, 93), (9, 1), (48, 15)]"
ce9a2cb87a3b406b8ee54dda89ac777c,"[(37, 10), (67, 84), (25, 97), (96, 67), (4, 14), (64, 68), (24, 80), (6, 3), (4, 69), (32, 56), (88, 4), (84, 86), (49, 28), (59, 1)]","[(88, 4), (96, 67), (84, 86), (25, 97), (4, 69), (4, 14), (6, 3), (59, 1)]"
4fba86213b1d45f2be06ce238ce2c555,"[(74, 40), (79, 77), (63, 51), (60, 51), (9, 91), (70, 88), (87, 90), (92, 21), (19, 78), (20, 12), (87, 76)]","[(9, 91), (20, 12), (92, 21), (87, 90)]"
e3a301c9377c447190f595d5296299c0,"[(34, 95), (75, 40), (16, 89), (41, 32), (77, 88), (39, 33), (85, 42), (8, 25), (57, 28), (13, 77), (29, 35), (36, 35), (94, 74), (45, 24), (25, 34), (14, 55), (6, 81)]","[(6, 81), (8, 25), (45, 24), (57, 28), (85, 42), (94, 74), (77, 88), (34, 95), (16, 89)]"
e505a5bf37f04e6fa3ff7050b26a5cff,"[(59, 50), (94, 29), (0, 37), (16, 64), (70, 81), (24, 18), (94, 72), (56, 6), (91, 80), (99, 32), (31, 34), (83, 10), (98, 64), (71, 83), (24, 44), (87, 58), (2, 30)]","[(16, 64), (0, 37), (2, 30), (24, 18), (56, 6), (83, 10), (99, 32), (98, 64), (91, 80), (71, 83)]"
dec05e19ba4c4a7982af1f7e1d1c8ce5,"[(71, 80), (3, 85), (72, 95), (11, 98), (3, 24)]","[(3, 85), (3, 24), (71, 80), (72, 95), (11, 98)]"
45840af9825c4c4caddd14bfb5fbd4fa,"[(63, 56), (31, 29), (8, 16), (81, 51), (30, 42), (38, 31), (35, 35)]","[(8, 16), (81, 51), (63, 56), (30, 42)]"
2f2f04e1d70f4f428b42fd8c5331ff4b,"[(66, 57), (66, 49), (66, 49), (59, 42), (48, 85), (85, 39), (34, 52), (90, 79), (91, 27), (11, 34), (19, 63), (50, 74), (36, 79), (84, 16), (32, 99), (35, 31), (28, 46)]","[(91, 27), (90, 79), (32, 99), (19, 63), (11, 34), (84, 16)]"
3173ae2ce7754df086e7c552407551a9,"[(69, 97), (66, 52), (2, 9), (19, 19), (30, 95), (37, 68), (40, 5), (1, 91), (53, 53), (4, 81), (34, 78), (21, 72), (51, 81), (76, 80)]","[(1, 91), (2, 9), (40, 5), (66, 52), (76, 80), (69, 97), (30, 95)]"
9b4d4bf1cbe54d99a52704d8460f0691,"[(41, 47), (29, 69), (48, 91), (27, 16), (66, 50), (91, 99), (53, 42)]","[(29, 69), (27, 16), (66, 50), (91, 99), (48, 91)]"
30c36d8fa0874fc8bbb10c1c92dd5a8f,"[(76, 16), (7, 56), (90, 96)]","[(90, 96), (7, 56), (76, 16)]"
f3d562ce1be74f60b94972d612e8f585,"[(57, 20), (43, 90), (88, 17), (12, 69), (97, 92), (8, 32), (28, 23), (11, 46), (32, 26), (77, 12), (82, 12), (77, 3), (6, 78), (82, 78), (76, 32), (79, 12), (21, 33), (41, 28)]","[(6, 78), (8, 32), (28, 23), (77, 3), (88, 17), (97, 92), (43, 90)]"
e5538e11b39948059cc39813b76c0221,"[(76, 86), (31, 79), (79, 71), (63, 59), (87, 36), (92, 54), (89, 87), (42, 0), (2, 23), (90, 67), (89, 7), (40, 20), (65, 22), (51, 94), (61, 27), (55, 43)]","[(89, 7), (92, 54), (89, 87), (51, 94), (31, 79), (2, 23), (42, 0)]"
5b3412fbf2af4fa2a8b9ec8849054bfa,"[(27, 52), (95, 5), (70, 82), (39, 72)]","[(27, 52), (95, 5), (70, 82), (39, 72)]"
eb53178b89dd4cbe96689f9b9ac516cd,"[(20, 83), (89, 47), (98, 20), (15, 91), (0, 44), (82, 14), (32, 37), (52, 31), (67, 7)]","[(15, 91), (0, 44), (67, 7), (98, 20), (89, 47)]"
9d8851c260ed4a72a5177ff4babdebb4,"[(27, 75), (72, 64), (29, 39), (10, 91), (1, 79)]","[(1, 79), (29, 39), (72, 64), (10, 91)]"
40613141b2824d3d9027fff638fa5f17,"[(94, 37), (9, 88), (0, 28), (42, 80), (61, 50), (11, 74), (20, 85), (38, 77), (31, 92), (15, 38), (0, 6), (34, 72), (48, 38), (23, 36), (71, 29), (62, 59), (62, 12)]","[(94, 37), (31, 92), (9, 88), (0, 28), (0, 6), (62, 12)]"
c0c34e6d4180487e8f29eeb4b355bd01,"[(9, 82), (36, 29), (25, 23), (13, 52), (49, 20), (70, 87), (30, 1), (49, 43), (19, 24), (28, 29), (76, 34), (40, 70), (96, 98), (97, 75), (76, 96), (55, 3), (37, 81), (16, 72)]","[(97, 75), (96, 98), (76, 96), (9, 82), (13, 52), (19, 24), (30, 1), (55, 3), (76, 34)]"
3ad0fe3415794f98957d8e1e8070f14f,"[(90, 5), (58, 49), (74, 19), (80, 35), (90, 55), (47, 19), (15, 6), (2, 83), (26, 30), (58, 92), (22, 7), (76, 9), (16, 93), (21, 61), (19, 94)]","[(2, 83), (15, 6), (90, 5), (90, 55), (58, 92), (19, 94), (16, 93)]"
200f6a6fc101467ea181cb789c75cc55,"[(7, 92), (51, 94), (49, 20), (64, 96), (86, 15), (29, 38), (55, 12), (99, 79), (49, 11), (53, 75), (29, 29), (12, 19), (88, 90), (46, 10), (48, 60), (46, 97), (73, 92), (94, 64), (16, 77), (9, 74)]","[(86, 15), (99, 79), (88, 90), (64, 96), (46, 97), (7, 92), (12, 19), (46, 10)]"
cf65b17150764d9a80635975d3ee6f79,"[(85, 96), (0, 93), (8, 45), (38, 13), (95, 87), (27, 25)]","[(38, 13), (95, 87), (85, 96), (0, 93), (8, 45)]"
f770845198d1492889103ad104a890c4,"[(8, 43), (18, 20), (73, 35), (38, 42), (47, 30), (61, 99), (59, 85), (34, 60)]","[(61, 99), (8, 43), (18, 20), (73, 35)]"
5b0360c597e04f6bbdbf4633a6095180,"[(51, 20), (23, 83), (53, 79), (96, 81), (33, 58), (54, 89), (64, 79), (57, 68)]","[(51, 20), (96, 81), (54, 89), (23, 83), (33, 58)]"
e7a25918dd484f2490219ea4d9014290,"[(53, 86), (87, 53), (2, 27), (37, 3), (46, 71), (89, 10), (44, 81), (50, 6), (37, 39), (63, 53), (86, 0)]","[(2, 27), (37, 3), (86, 0), (89, 10), (87, 53), (53, 86), (44, 81)]"
0af03477061e4c669ea5af0357412067,"[(15, 11), (80, 59), (79, 88), (0, 27), (32, 49), (0, 51)]","[(80, 59), (79, 88), (0, 51), (0, 27), (15, 11)]"
aae2d73ced314168af75718897258974,"[(94, 30), (83, 14), (44, 37), (91, 4), (76, 59), (74, 20), (73, 23), (9, 16), (25, 52), (28, 22), (83, 6), (67, 24), (95, 27), (86, 87), (93, 42), (96, 6), (96, 29), (38, 5), (29, 80), (50, 71)]","[(29, 80), (9, 16), (38, 5), (91, 4), (96, 6), (96, 29), (86, 87)]"
4e33025f546448a997d9037809e84965,"[(58, 71), (74, 45), (44, 35)]","[(44, 35), (74, 45), (58, 71)]"
20bb80347a6c47359993dc679713b1f6,"[(8, 15), (27, 43), (29, 43), (38, 59)]","[(8, 15), (29, 43), (38, 59), (27, 43)]"
a398fd7cd24143e4a7c554464256d5f5,"[(12, 87), (42, 37), (20, 28), (86, 30), (39, 35), (96, 20), (48, 51), (36, 80), (39, 88), (67, 31), (54, 0), (2, 16), (10, 22), (21, 43), (84, 94)]","[(96, 20), (84, 94), (12, 87), (2, 16), (54, 0)]"
e919c8ae6f4c415284101672fe94c394,"[(38, 27), (38, 59), (83, 14), (53, 82)]","[(38, 27), (83, 14), (53, 82), (38, 59)]"
a3b2dac6b80f42b0a869980530c301e4,"[(46, 43), (53, 70), (49, 34), (81, 93), (17, 31), (21, 66), (69, 85), (17, 98), (3, 41), (35, 36), (55, 33), (14, 57), (44, 65), (36, 50), (4, 24), (66, 59)]","[(17, 98), (3, 41), (4, 24), (55, 33), (81, 93)]"
6cbc41b5c1864bffba6eb65b7eafdacc,"[(0, 30), (67, 23), (98, 81), (64, 94), (6, 35), (68, 58), (25, 74)]","[(0, 30), (67, 23), (98, 81), (64, 94), (25, 74)]"
926f296fa06845a6a695ac3f91f817c5,"[(94, 15), (22, 84), (20, 7), (54, 90), (28, 78), (45, 24), (59, 72), (62, 53), (48, 16), (67, 58)]","[(20, 7), (94, 15), (54, 90), (22, 84)]"
d4d5a57ae84445abb3a91d451f1c770b,"[(60, 60), (76, 22), (35, 62), (37, 63), (73, 44), (27, 64), (65, 24), (60, 39), (13, 42), (30, 48), (29, 48)]","[(27, 64), (13, 42), (65, 24), (76, 22), (73, 44), (60, 60), (37, 63)]"
a5132b4fd7464f6ebba3acd18212d8d6,"[(98, 14), (39, 56), (18, 56), (94, 61), (13, 71), (27, 99), (51, 72), (24, 6), (99, 38), (23, 55), (56, 9), (87, 43), (18, 6), (37, 31), (17, 62), (56, 70), (44, 19)]","[(27, 99), (13, 71), (18, 6), (24, 6), (56, 9), (98, 14), (99, 38), (94, 61)]"
1d6b118fd6b64a73ac4ac8515866d7bd,"[(43, 79), (55, 12), (30, 93), (6, 42), (6, 49), (16, 14), (62, 3), (51, 58), (75, 49), (64, 10), (3, 57), (90, 56), (13, 80), (79, 67), (30, 13)]","[(62, 3), (90, 56), (79, 67), (30, 93), (13, 80), (3, 57), (6, 42), (16, 14)]"
009c287d3daa433b9ef52c626736135b,"[(82, 25), (16, 62), (29, 99), (70, 59), (97, 5), (53, 22), (94, 51), (43, 5), (1, 78), (8, 21)]","[(29, 99), (1, 78), (8, 21), (43, 5), (97, 5), (94, 51)]"
75762e8bd29340cbad4588f6cb24f382,"[(83, 20), (14, 8), (46, 17), (75, 57), (46, 35), (7, 53), (5, 95), (18, 96)]","[(14, 8), (83, 20), (75, 57), (18, 96), (5, 95), (7, 53)]"
3fba373008514a55b2c19753415b2990,"[(65, 56), (52, 17), (59, 39)]","[(52, 17), (65, 56), (59, 39)]"
dba8192268374c73ac73999639484943,"[(7, 39), (94, 86), (68, 13), (66, 7), (59, 1), (65, 34), (38, 19), (0, 71), (12, 22), (53, 31), (46, 34), (33, 39), (89, 92)]","[(12, 22), (59, 1), (66, 7), (94, 86), (89, 92), (0, 71), (7, 39)]"
d0355e83dcf84a3daa2fda394e2a989a,"[(94, 38), (7, 78), (23, 37), (34, 51), (38, 74), (73, 64), (71, 94), (23, 49), (0, 23), (43, 86), (40, 77), (60, 29)]","[(94, 38), (71, 94), (7, 78), (0, 23), (60, 29)]"
33fb8301bd1945da992e3b84fd3f57c2,"[(59, 62), (19, 28), (0, 86), (1, 13), (85, 4), (35, 45), (87, 90), (89, 31)]","[(87, 90), (0, 86), (1, 13), (85, 4), (89, 31)]"
a2f1c4b5593647228151e3c88253131d,"[(50, 60), (12, 44), (41, 46), (90, 18), (78, 91), (58, 34), (60, 60), (54, 33), (81, 2), (82, 71), (87, 89), (6, 64), (60, 94), (29, 28)]","[(60, 94), (6, 64), (12, 44), (29, 28), (81, 2), (90, 18), (87, 89), (78, 91)]"
04a644b1352940a2bbfc161143fad43f,"[(89, 94), (27, 0), (93, 90), (27, 11), (7, 56), (42, 8), (36, 92), (82, 51), (33, 81), (69, 37), (60, 36), (93, 38), (79, 67), (94, 64), (78, 5), (71, 21), (81, 52), (6, 58)]","[(6, 58), (27, 0), (78, 5), (93, 38), (94, 64), (93, 90), (89, 94), (36, 92)]"
48ad094eb2064443832ab7fd8f721780,"[(83, 78), (42, 32), (6, 91), (0, 63), (88, 24), (12, 31), (55, 76), (90, 67), (63, 90), (59, 48), (74, 87), (34, 58), (86, 64), (50, 10), (57, 29)]","[(6, 91), (0, 63), (12, 31), (50, 10), (88, 24), (90, 67), (83, 78), (74, 87), (63, 90)]"
e0863930d4314f6fac02b98a911bfb9d,"[(27, 72), (21, 23), (94, 35), (79, 54)]","[(21, 23), (94, 35), (79, 54), (27, 72)]"
84a8311484a8479ea3bcf263709fede0,"[(78, 47), (84, 10), (46, 5), (38, 66), (67, 14), (15, 52), (23, 64), (61, 29), (88, 20), (81, 69), (94, 3), (81, 74), (17, 78), (58, 5), (38, 22), (51, 67), (80, 12)]","[(17, 78), (15, 52), (46, 5), (94, 3), (81, 74)]"
863eede3a717447a9fc56b1eeab45cb2,"[(0, 84), (32, 9), (38, 21), (68, 82), (88, 78), (94, 55), (40, 27), (68, 41), (10, 73), (92, 35), (29, 63), (16, 83), (84, 58), (16, 10), (75, 53)]","[(94, 55), (88, 78), (68, 82), (0, 84), (16, 10), (32, 9), (92, 35)]"
ce5d0a0962664127bc8708d6421fe23c,"[(22, 75), (43, 93), (72, 28)]","[(22, 75), (72, 28), (43, 93)]"
20f51986353047078ffff156c89eaede,"[(65, 44), (81, 95), (12, 51)]","[(81, 95), (12, 51), (65, 44)]"
569f2477dde149d98179367c30453d47,"[(10, 58), (60, 60), (44, 19), (19, 73), (61, 13), (50, 78)]","[(19, 73), (10, 58), (44, 19), (61, 13), (60, 60), (50, 78)]"
a540db5296524c1f91b163701e53a5a0,"[(58, 0), (83, 29), (43, 97), (97, 11), (36, 49), (99, 42), (30, 5), (56, 9)]","[(99, 42), (43, 97), (36, 49), (30, 5), (58, 0), (97, 11)]"
9dd7f361b8cc40f0b8af675b0ec1a30b,"[(43, 34), (15, 88), (63, 42), (35, 78), (10, 80), (7, 49), (14, 20), (80, 25), (35, 16), (10, 46), (6, 64), (27, 85), (22, 28), (95, 69), (50, 96), (12, 76), (57, 92)]","[(14, 20), (35, 16), (80, 25), (95, 69), (57, 92), (50, 96), (15, 88), (10, 80), (6, 64), (7, 49)]"
af021f1d2cce4273a9426ecaefa1c2dd,"[(74, 2), (58, 93), (26, 47), (55, 64), (4, 71), (69, 69), (84, 27), (68, 66), (18, 64), (28, 4), (59, 75), (92, 42), (65, 31)]","[(74, 2), (92, 42), (58, 93), (4, 71), (28, 4)]"
fb46dcc8472346329542783457d97ca1,"[(5, 96), (67, 71), (23, 80), (29, 25), (93, 46), (34, 49), (87, 48), (61, 14), (38, 68), (51, 62), (55, 4)]","[(55, 4), (93, 46), (67, 71), (5, 96), (29, 25)]"
f740a18736794f1e8709938f44424be3,"[(68, 59), (6, 29), (42, 62), (24, 3), (56, 2), (52, 1), (47, 50), (48, 14), (31, 29), (24, 61), (84, 24), (54, 23), (4, 88), (38, 40), (58, 4)]","[(4, 88), (6, 29), (24, 3), (52, 1), (56, 2), (84, 24), (68, 59)]"
00d32c250ba64c10a909d778f682b652,"[(64, 5), (27, 54), (2, 0), (42, 58), (91, 27), (79, 51), (87, 62), (19, 61), (67, 94), (24, 76), (82, 59), (38, 38), (11, 46), (0, 31), (49, 50), (32, 37), (94, 39)]","[(24, 76), (0, 31), (2, 0), (64, 5), (91, 27), (94, 39), (87, 62), (67, 94)]"
0b86a7a8d92b417aa4be6b8bfa667ae8,"[(94, 57), (0, 82), (49, 21), (0, 69), (60, 99), (26, 54), (64, 84), (47, 21), (52, 84), (36, 40), (87, 14), (57, 69), (99, 18), (26, 34), (55, 24)]","[(60, 99), (0, 82), (0, 69), (26, 34), (47, 21), (87, 14), (99, 18), (94, 57)]"
69e536d71a0b4c2c8bf57da3f1f8e0f5,"[(14, 24), (74, 95), (15, 27), (23, 38), (65, 49), (62, 83), (31, 26), (0, 12), (44, 85), (54, 57), (67, 23), (65, 41), (40, 33)]","[(0, 12), (67, 23), (74, 95), (44, 85)]"
c55ce7ff985d470e8220d4f2733b1748,"[(86, 97), (75, 90), (3, 55), (2, 74), (51, 22), (91, 67), (99, 40), (87, 62), (66, 26), (65, 54), (64, 52), (54, 81), (63, 39), (25, 59), (29, 41)]","[(86, 97), (2, 74), (3, 55), (51, 22), (66, 26), (99, 40)]"
c214ba0956454c919d2bb0e59fe09c76,"[(58, 28), (60, 1), (73, 0), (53, 49), (5, 8), (91, 73), (94, 43), (89, 36), (99, 92), (63, 93), (57, 32), (34, 0), (71, 59), (29, 73), (47, 42), (44, 0)]","[(29, 73), (5, 8), (34, 0), (73, 0), (94, 43), (99, 92), (63, 93)]"
1a37d20912ae4d36bcc5c93d56876aa5,"[(32, 98), (91, 56), (37, 67), (23, 76), (20, 84), (8, 34), (41, 45), (14, 15), (64, 17), (80, 76), (80, 58), (51, 23), (15, 77), (11, 99), (48, 79), (11, 33), (67, 57)]","[(11, 99), (8, 34), (14, 15), (64, 17), (91, 56), (80, 76), (32, 98)]"
e46a525c000a4b078ac1c8bc60b273ca,"[(71, 89), (53, 2), (33, 54), (32, 11), (15, 12), (3, 74), (27, 79), (37, 64), (89, 75), (49, 11), (47, 15), (91, 39)]","[(53, 2), (91, 39), (89, 75), (71, 89), (3, 74), (15, 12)]"
88162d06ea08444c99e4e39fb6652afc,"[(48, 2), (31, 41), (64, 68), (35, 74), (74, 99), (81, 31), (94, 72), (35, 38), (46, 19), (90, 16), (90, 83), (76, 99), (37, 15), (83, 64), (70, 60), (90, 70), (54, 14), (67, 38), (26, 18)]","[(90, 16), (94, 72), (90, 83), (76, 99), (74, 99), (35, 74), (26, 18), (48, 2)]"
836e1bcb28b7429a9a17f34e6c05a6ca,"[(58, 86), (38, 12), (48, 97), (87, 48), (41, 53), (54, 69), (84, 56), (75, 59), (91, 92), (85, 29), (1, 2), (9, 30)]","[(91, 92), (48, 97), (9, 30), (1, 2), (38, 12), (85, 29), (87, 48)]"
87b3533f70e94b48aae648031a7a494d,"[(58, 87), (76, 74), (85, 80), (76, 85), (80, 89)]","[(58, 87), (76, 74), (85, 80), (80, 89)]"
80dd9da3203f4ea38add1e1cba5985ba,"[(23, 13), (16, 30), (32, 35), (65, 44), (90, 31)]","[(16, 30), (23, 13), (90, 31), (65, 44), (32, 35)]"
081d42f5bef7426cb090e7f7521b0e0d,"[(56, 60), (86, 89), (1, 22), (15, 63), (31, 69), (66, 67), (77, 19), (0, 70), (0, 51), (10, 17), (16, 55), (11, 16)]","[(86, 89), (0, 70), (0, 51), (1, 22), (11, 16), (77, 19)]"
b0ac173ff6e444b6ba4343fcaad76ee5,"[(54, 26), (41, 55), (81, 94), (24, 82), (10, 0)]","[(10, 0), (54, 26), (81, 94), (24, 82)]"
e0c85a50678642489fb224481b3a15d9,"[(62, 61), (98, 21), (28, 47), (10, 91), (81, 78), (72, 24)]","[(81, 78), (10, 91), (28, 47), (72, 24), (98, 21)]"
a3ea234b944f4b3c845012a7bb9a8354,"[(83, 38), (92, 45), (75, 36), (82, 1), (64, 40)]","[(92, 45), (64, 40), (82, 1)]"
afbad265395d4bc389dd312dc7599c5a,"[(95, 93), (96, 64), (24, 38), (64, 22), (29, 25), (62, 27), (98, 17), (44, 61), (66, 58), (18, 89), (77, 75), (72, 70), (4, 68), (19, 30), (9, 8)]","[(98, 17), (95, 93), (18, 89), (4, 68), (9, 8)]"
244d2e0af1c1446e948d53b2be1fe833,"[(19, 38), (16, 20), (96, 27), (92, 85), (10, 99), (58, 14), (29, 98), (77, 16), (39, 60), (99, 14), (43, 33), (58, 53), (6, 20), (6, 80), (51, 54), (92, 94), (41, 42), (77, 14)]","[(99, 14), (92, 94), (29, 98), (10, 99), (6, 80), (6, 20), (58, 14)]"
bffb2142f18d459e97902a275d029c23,"[(57, 22), (50, 3), (57, 59), (33, 83), (9, 47), (1, 56), (72, 75), (5, 51), (44, 68), (27, 50)]","[(33, 83), (1, 56), (5, 51), (50, 3), (57, 22), (72, 75)]"
3a4b0e3820ee48c1940e9080da570de5,"[(35, 96), (53, 8), (79, 63), (17, 58), (85, 71), (59, 58), (66, 92), (91, 27), (71, 77), (26, 20), (0, 63)]","[(35, 96), (0, 63), (26, 20), (53, 8), (91, 27), (85, 71), (66, 92)]"
f398afe1fad14124bb00b7985198b42a,"[(17, 77), (88, 58), (84, 11), (68, 32), (12, 92), (11, 60), (10, 75), (56, 39)]","[(84, 11), (88, 58), (12, 92), (10, 75), (11, 60)]"
cfbaa9db40654590901c60a73e6ce106,"[(33, 97), (61, 90), (97, 99), (33, 87), (6, 84), (30, 67), (91, 86), (14, 69)]","[(91, 86), (97, 99), (33, 97), (6, 84), (14, 69), (30, 67)]"
959187a730e443538a4febcc8b8e3cf6,"[(31, 70), (79, 59), (69, 85), (52, 6), (81, 44), (95, 30), (88, 52), (86, 22), (57, 22), (17, 42), (62, 53), (68, 49), (81, 90), (45, 40), (54, 77), (63, 8)]","[(95, 30), (81, 90), (31, 70), (17, 42), (52, 6), (63, 8), (86, 22)]"
18cbf3d7aa544bd185f7f66b7be771e6,"[(12, 90), (88, 74), (23, 50), (37, 24), (9, 56), (33, 42), (92, 4), (97, 3), (10, 68), (2, 9), (91, 79), (14, 35), (90, 3), (3, 70), (19, 78), (63, 24), (76, 69), (55, 40)]","[(97, 3), (91, 79), (12, 90), (3, 70), (2, 9), (90, 3)]"
6c1c879501744a42a63312f478636ee2,"[(40, 21), (14, 47), (8, 96), (35, 48), (21, 56), (3, 7), (38, 23), (86, 4), (69, 30), (0, 13), (48, 50)]","[(8, 96), (0, 13), (3, 7), (86, 4), (69, 30)]"
239daa185b6d40ccbbe00d972711d70c,"[(3, 41), (58, 30), (68, 58), (42, 85), (25, 69), (82, 20), (28, 29), (80, 97), (49, 57), (49, 50), (14, 76), (74, 76), (97, 25), (62, 6), (89, 34), (54, 37), (91, 42), (79, 48), (43, 54), (43, 50)]","[(97, 25), (80, 97), (42, 85), (14, 76), (3, 41), (62, 6)]"
bf7145f345cd48678be44f7e0db02d46,"[(8, 57), (59, 82), (30, 55), (38, 88), (94, 91), (29, 32), (94, 84), (2, 37), (84, 65)]","[(2, 37), (29, 32), (84, 65), (94, 84), (94, 91), (38, 88), (8, 57)]"
4f6797a6c1924d9b9079bca1c59bcec9,"[(77, 4), (13, 51), (86, 1), (69, 11), (97, 50), (3, 83), (41, 84), (5, 79), (30, 64)]","[(86, 1), (97, 50), (41, 84), (3, 83), (13, 51), (77, 4)]"
0790149bf5d342549eecff1e97333260,"[(53, 8), (38, 83), (88, 32), (25, 22), (78, 16), (16, 41), (98, 31), (29, 68), (53, 20), (88, 77), (56, 62), (25, 16), (14, 77), (92, 90), (83, 32), (63, 70)]","[(98, 31), (92, 90), (38, 83), (14, 77), (16, 41), (25, 16), (53, 8), (78, 16)]"
efc64f78f33d4fdd8b13594cecd9e78d,"[(88, 95), (9, 44), (85, 46), (20, 55), (28, 77), (79, 82), (15, 89), (12, 4)]","[(9, 44), (12, 4), (85, 46), (88, 95), (15, 89)]"
61504f345acd4a8fb151ce2c6099d58a,"[(30, 3), (8, 58), (2, 52), (33, 57), (34, 67), (79, 85), (34, 55), (96, 36)]","[(96, 36), (79, 85), (8, 58), (2, 52), (30, 3)]"
0aea771c1e184d96a0789c42632d7689,"[(85, 96), (14, 93), (14, 54), (81, 23), (94, 70), (59, 55), (83, 95), (98, 48), (96, 22)]","[(85, 96), (14, 93), (14, 54), (81, 23), (96, 22), (98, 48), (94, 70)]"
37430224d35e4b85986fa151793e3e32,"[(96, 85), (1, 94), (84, 42), (20, 1), (13, 6), (62, 28), (70, 76), (62, 48), (48, 59), (34, 50), (84, 63), (34, 75), (51, 52), (10, 76)]","[(96, 85), (1, 94), (13, 6), (20, 1), (84, 42)]"
0c1fa1ec88b7465d90668ac1b0798241,"[(48, 29), (5, 82), (46, 90), (84, 75), (15, 49), (16, 85), (64, 8), (25, 45), (63, 48), (37, 32), (29, 26), (41, 15), (75, 50), (41, 80), (90, 0), (6, 73), (86, 7), (97, 93)]","[(90, 0), (97, 93), (46, 90), (16, 85), (5, 82), (6, 73), (15, 49), (29, 26), (41, 15)]"
d6875300f4c9497aaf31ed5c9f3df09a,"[(0, 98), (32, 24), (96, 34), (14, 16), (50, 10), (71, 54)]","[(50, 10), (96, 34), (71, 54), (0, 98), (14, 16)]"
6f23b0111d644e04a61dcd20df20fa98,"[(11, 48), (20, 70), (62, 50), (19, 55), (45, 69), (84, 14), (96, 75), (22, 26), (87, 76), (93, 38), (87, 35), (63, 45)]","[(20, 70), (11, 48), (22, 26), (84, 14), (93, 38), (96, 75), (87, 76)]"
a09edb1c825746a99d1b10ca89d39a6e,"[(33, 32), (27, 2), (43, 2), (62, 76), (88, 23), (43, 85), (36, 7), (45, 98)]","[(45, 98), (27, 2), (43, 2), (88, 23), (62, 76)]"
b0f5a333618a42a9927869eacff82f53,"[(58, 52), (70, 76), (28, 65), (40, 13), (82, 72), (48, 30)]","[(28, 65), (40, 13), (82, 72), (70, 76)]"
466ffbf7116d41199fc59436ff2561b4,"[(56, 69), (49, 90), (92, 36), (96, 13), (27, 14), (93, 51), (89, 39), (36, 60), (11, 18), (82, 40), (57, 5), (76, 86), (85, 8), (70, 99), (73, 14), (37, 51), (43, 73), (0, 60)]","[(0, 60), (11, 18), (57, 5), (85, 8), (96, 13), (93, 51), (70, 99), (49, 90)]"
4544bacd4811496d88e982a5fdd63a7b,"[(18, 58), (46, 39), (36, 20), (93, 32), (65, 88), (85, 34), (49, 70), (35, 59), (87, 54), (68, 9), (65, 43), (21, 13), (51, 73), (31, 84), (99, 77), (6, 13), (2, 76), (15, 85), (59, 37)]","[(2, 76), (6, 13), (68, 9), (93, 32), (99, 77), (65, 88), (15, 85)]"
ef9e167a60ba412d9e61609bb85e5e5e,"[(78, 77), (73, 46), (27, 37), (94, 25), (19, 13), (21, 85), (6, 60), (99, 37), (66, 42), (38, 4), (19, 90), (4, 57), (80, 86), (81, 78), (38, 78)]","[(99, 37), (80, 86), (19, 90), (4, 57), (19, 13), (38, 4), (94, 25)]"
aaeecb0f214e48d6b423f87971c13b0d,"[(83, 16), (25, 96), (94, 80), (48, 69), (36, 10), (11, 75), (54, 21), (94, 35), (58, 60), (22, 86), (65, 96), (26, 57), (80, 96)]","[(11, 75), (36, 10), (83, 16), (94, 35), (94, 80), (80, 96), (25, 96)]"
a355ad05d5c848bab3a72bcca08920c1,"[(77, 90), (19, 8), (85, 57), (68, 44), (88, 85), (87, 17), (1, 5), (7, 78), (42, 96), (74, 37), (1, 27), (22, 94), (50, 61), (71, 60), (9, 60), (92, 58), (44, 56), (46, 70), (19, 76), (69, 75)]","[(1, 5), (87, 17), (92, 58), (88, 85), (77, 90), (42, 96), (22, 94), (7, 78), (1, 27)]"
e39e9c535af0408fb13832efab0eef44,"[(82, 55), (79, 15), (4, 3), (16, 95), (72, 58), (11, 47), (41, 61), (42, 11), (62, 32), (12, 79), (36, 25), (22, 15), (85, 65), (43, 93), (62, 16), (73, 29), (76, 56), (81, 93), (87, 64), (52, 61)]","[(4, 3), (79, 15), (87, 64), (81, 93), (16, 95), (12, 79)]"
8395f157213b4b019a9b554ea26bb86a,"[(86, 22), (2, 47), (48, 54), (19, 87), (71, 48), (14, 73), (98, 33), (30, 90), (3, 8), (74, 29)]","[(98, 33), (30, 90), (19, 87), (2, 47), (3, 8), (86, 22)]"
bb4bed9b9c004879a7c86727da28e462,"[(49, 78), (54, 2), (44, 10), (18, 89)]","[(49, 78), (18, 89), (44, 10), (54, 2)]"
942af9739f004151b026097c16ae259c,"[(28, 72), (53, 66), (92, 59), (16, 9), (85, 35), (86, 77), (61, 58), (82, 92), (0, 44)]","[(0, 44), (16, 9), (85, 35), (92, 59), (82, 92), (28, 72)]"
44f82fd1ad9f4cbb96d44e23e4719556,"[(83, 58), (72, 88), (34, 51)]","[(34, 51), (83, 58), (72, 88)]"
edad8984dec34f769b719c59532ae433,"[(12, 0), (5, 96), (41, 86), (72, 35), (66, 14), (88, 32), (26, 32), (82, 77), (37, 58), (42, 21), (79, 22), (17, 10), (15, 21)]","[(5, 96), (12, 0), (66, 14), (79, 22), (88, 32), (82, 77)]"
